artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,541,204,82,122,0.016224010325059657,0.011436916338127164,0.004787093986932493,0.8292682926829268,0.8934426229508197,0.013580467137572258,0.022557573227785923,0.02464817531301113,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,563,204,82,122,0.0012661162763834036,0.0005887135878571732,0.0006774026885262304,0.4878048780487805,0.319672131147541,-0.011942503780276538,-0.014401027552627921,-0.015123724830869524,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,307,204,82,122,-0.0010901635012975593,-0.00031657016179601063,-0.0007735933395015488,0.4024390243902439,0.639344262295082,-0.002482745784458276,-0.0011905270125455395,-0.0008584172692970638,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,331,204,82,122,-0.14147435614793766,0.02608003332966664,-0.1675543894776043,0.2804878048780488,0.3770491803278688,-0.09420636503224489,-0.21391001338082732,-0.23603313974181858,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,353,204,82,122,-0.009911508685568494,-0.004377462458415119,-0.005534046227153375,0.3048780487804878,0.4672131147540984,0.0036225554531570912,0.0027279057619158695,0.002467117650287444,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,379,204,82,122,-0.0030053303372569165,6.730830083127359e-05,-0.00307263863808819,0.36585365853658536,0.6065573770491803,-0.0009606400579665279,-0.0022989671514902867,-0.00259441962878038,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,401,204,82,122,-0.004781778992676153,0.0003154409713432417,-0.005097219964019394,0.36585365853658536,0.45901639344262296,-0.004568606171200336,-0.00931324342820526,-0.010472559201938675,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,421,204,82,122,-0.008274767116257327,0.0023015382409584412,-0.010576305357215769,0.47560975609756095,0.5491803278688525,-0.001902145471557315,-0.0104044656718738,-0.012214386428587144,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,443,204,82,122,0.0020948142358442586,-0.0002581288457894071,0.0023529430816336657,0.5609756097560976,0.5655737704918032,0.0016525462852368302,0.006067175105632674,0.007063743974194854,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,467,204,82,122,-0.004188342792231852,-0.006336813586473952,0.0021484707942421005,0.3170731707317073,0.22131147540983606,0.006829058245417456,0.00660782696624855,0.006258179479421759,2
