artifact,task,relation,dose,n_seeds,did_n_finite,did_mean,did_std,did_boot_mean,did_boot_ci_low,did_boot_ci_high,did_boot_positive_rate,did_support,did_label_adjusted_n_finite,did_label_adjusted_mean,did_label_adjusted_std,did_label_adjusted_boot_mean,did_label_adjusted_boot_ci_low,did_label_adjusted_boot_ci_high,did_label_adjusted_boot_positive_rate,did_label_adjusted_support,linear_affected_coef_n_finite,linear_affected_coef_mean,linear_affected_coef_std,linear_affected_coef_boot_mean,linear_affected_coef_boot_ci_low,linear_affected_coef_boot_ci_high,linear_affected_coef_boot_positive_rate,linear_affected_coef_support,did_minus_decoy_n_finite,did_minus_decoy_mean,did_minus_decoy_std,did_minus_decoy_boot_mean,did_minus_decoy_boot_ci_low,did_minus_decoy_boot_ci_high,did_minus_decoy_boot_positive_rate,did_minus_decoy_support,did_label_adjusted_minus_decoy_n_finite,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_std,did_label_adjusted_minus_decoy_boot_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,did_label_adjusted_minus_decoy_boot_positive_rate,did_label_adjusted_minus_decoy_support,linear_affected_coef_minus_decoy_n_finite,linear_affected_coef_minus_decoy_mean,linear_affected_coef_minus_decoy_std,linear_affected_coef_minus_decoy_boot_mean,linear_affected_coef_minus_decoy_boot_ci_low,linear_affected_coef_minus_decoy_boot_ci_high,linear_affected_coef_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_support
phase0_tf_confirm_top_len158_extra,tox21_ahr,random,1,12,12,0.07026957731951174,0.09690970571018605,0.070175714817416,0.019414282393125062,0.12536204310316396,0.9985,ci_positive,12,0.003925825281923812,0.09338797769490574,0.0032998982142247693,-0.05054015042118544,0.05161285170863073,0.55875,unstable_or_null,12,0.013485108524376543,0.03914105149032578,0.01335197411049861,-0.007618043916495506,0.034863482869462246,0.895,directional_positive,12,0.05193266745891661,0.12254162128368899,0.05271049394646536,-0.015128921215141825,0.11630962037614691,0.94075,directional_positive,12,0.012453391399954087,0.0614135677575587,0.012711796908294088,-0.019015665762441986,0.047963641404041434,0.7665,unstable_or_null,12,0.008855970743404731,0.03550589853778693,0.008888671491766373,-0.0116403085073163,0.025558012037766104,0.81425,directional_positive
phase0_tf_confirm_top_len158_extra,hiv,exact,20,12,12,-0.00042563324014389947,0.14913920259627217,0.00023543375278730166,-0.08125692385039322,0.07895724675019164,0.51375,unstable_or_null,12,-0.006992321882589786,0.05612707660570095,-0.007013435529070917,-0.03677820122580748,0.025424460116118444,0.31325,unstable_or_null,12,0.002205181334357696,0.04508108887963913,0.0024265613673717006,-0.02018881096402946,0.027764393961727852,0.56425,unstable_or_null,12,0.03614253619037279,0.12531713816745535,0.03602523856713602,-0.026955416034299722,0.10679967488201793,0.85375,directional_positive,12,0.011747890687174106,0.06159823870932831,0.01186163130547609,-0.020469984666755314,0.0458659765861091,0.76125,unstable_or_null,12,0.01764124104476929,0.05649643119936205,0.016924225554414155,-0.01318527360393625,0.05009503498520618,0.86275,directional_positive
phase0_tf_confirm_top_len158_extra,tox21_are,exact,20,12,12,-0.0011525824388417445,0.08788447589492497,-0.0006994383818514689,-0.04521324012499415,0.048912010534311275,0.466,unstable_or_null,12,0.0035722428821487857,0.03803175208097871,0.0035777184443038985,-0.019122932539956856,0.02206598825683974,0.64875,unstable_or_null,12,0.0057009990177712905,0.03272682729184624,0.00568499235544591,-0.013777484755770883,0.02176586892122412,0.746,unstable_or_null,12,-0.01789936848008671,0.04980929979571258,-0.01772889106395156,-0.045616217745596384,0.009284339074451382,0.105,directional_negative,12,0.009836609432501071,0.05897353200018111,0.010034989057349118,-0.02237161698854347,0.04067389464402408,0.73725,unstable_or_null,12,0.007218403546510727,0.04094685581221293,0.006914172822809503,-0.015582825770055563,0.02859113197950688,0.73675,unstable_or_null
phase0_tf_confirm_top_len158_extra,tox21_ahr,exact,20,12,12,0.028844428022488097,0.1013078200877879,0.028721263959890237,-0.02772300884763053,0.08253807681850586,0.847,directional_positive,12,0.0020548355744044746,0.10328778916884238,0.001705515786316996,-0.05466783992572004,0.05711336773779692,0.5205,unstable_or_null,12,0.01576276924335963,0.04900117903257777,0.015436471979359791,-0.008960436164816796,0.04302461791137359,0.87775,directional_positive,12,-0.008331699952780386,0.09019768652654217,-0.008159831577459187,-0.05743684692434589,0.04182701725817575,0.367,unstable_or_null,12,0.00914713697159403,0.1095635320059818,0.008878165206496681,-0.05553893329018457,0.0666176654116358,0.63225,unstable_or_null,12,0.011333208201381381,0.07985576028999701,0.010947014670351876,-0.034404909823080074,0.05157705915122959,0.7065,unstable_or_null
phase0_tf_aff128_probe,hiv,exact,20,4,4,-0.0530690204072323,0.09627805168230168,-0.05213004844018153,-0.12298200487408853,0.04172914264240695,0.12425,directional_negative,4,0.0013850265612850056,0.04837158034770385,0.0019166564024727857,-0.04614902183956289,0.028600865864509724,0.63925,unstable_or_null,4,0.00905273336807692,0.020909427315261245,0.009066613321976825,-0.011556466941794276,0.021003627342440483,0.7295,unstable_or_null,4,0.031226270518174018,0.04644275308090967,0.031062582534674987,-0.010185795331450483,0.06483976313204737,0.92625,directional_positive,4,0.00811446134500099,0.05423752375331488,0.008411563626805054,-0.03762724938552213,0.04933985591043636,0.6315,unstable_or_null,4,-0.010027548895407794,0.029644804306273385,-0.009494872020758096,-0.03657389446607402,0.01388888127084607,0.21525,unstable_or_null
phase0_tf_aff128_probe,tox21_ahr,exact,20,4,4,-0.01414082780892588,0.05613793280888436,-0.0143711802833612,-0.06403461850278763,0.03270966535062128,0.299,unstable_or_null,4,8.107691493898506e-05,0.052879757126794276,0.0005171638745428837,-0.040119719909519694,0.050875060206174126,0.53775,unstable_or_null,4,-0.0027226476997583363,0.031193656546231397,-0.002416953706543354,-0.02483491223768427,0.025677693893069634,0.42475,unstable_or_null,4,0.006137061836580137,0.02521748944012777,0.0060230619247726375,-0.014823562607648062,0.027097686280808334,0.67375,unstable_or_null,4,0.00708391541325924,0.027239665140783548,0.007315159992457516,-0.009407015938997752,0.034353925562270377,0.68675,unstable_or_null,4,0.0026580902191953738,0.018479186834357137,0.0026926171894434193,-0.01034486598342442,0.019302959448134524,0.58275,unstable_or_null
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,24,24,0.001081522631521125,0.040503497068437026,0.0008918492922395472,-0.015805940333803146,0.01626250075378755,0.55725,unstable_or_null,24,0.010192311892407433,0.06324637346363784,0.010260981719022972,-0.0148388852865784,0.03521060494749601,0.78825,unstable_or_null,24,-0.001317823010236565,0.03311581747044078,-0.0012467877682440867,-0.014367464293316323,0.011021687910511337,0.431,unstable_or_null,24,-0.004228878573684698,0.04608777148086204,-0.003933138681706321,-0.02063259385178912,0.01562220366189582,0.314,unstable_or_null,24,0.006092690313492472,0.06946313253943905,0.0062008206662866865,-0.020357366245102433,0.0339195724670573,0.66925,unstable_or_null,24,-0.003496993380291075,0.04553497429813211,-0.0035794795383959545,-0.021491557356019174,0.013973323797850863,0.344,unstable_or_null
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,24,24,0.009489696865883848,0.04278419785778047,0.009368736842340394,-0.006620358308481732,0.027365715213996906,0.8605,directional_positive,24,0.009806529798083295,0.04408655338190247,0.009885325175064491,-0.007218186796008167,0.027715908140513185,0.869,directional_positive,24,-0.00011077206699289359,0.02936283960841805,-1.952084125716696e-05,-0.01095475470757388,0.011461107432495461,0.49425,unstable_or_null,24,0.004179295660678023,0.038686466182806696,0.0042570959127704875,-0.011075172257477565,0.018725757410335022,0.71275,unstable_or_null,24,0.0057069082191683355,0.06045823052753817,0.005696818222288513,-0.018007240962148733,0.02922625775924484,0.685,unstable_or_null,24,-0.0022899424370474014,0.046379163730312964,-0.0022089009488362246,-0.019751221956434934,0.016331109138672438,0.405,unstable_or_null
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,1,12,12,0.020224493432701846,0.05386675303556612,0.02042235732127085,-0.0008161652038209784,0.05330634400877836,0.96425,directional_positive,12,0.020087645545754648,0.05352938561892854,0.019858060232181955,-0.0007228410549653493,0.052845934465011866,0.9645,directional_positive,12,0.023401511195544913,0.05512692101125944,0.023265552942976733,0.00232148750690392,0.056783806980531565,0.99175,ci_positive,12,0.004651973307784523,0.026333450601319554,0.0046983916161012105,-0.009352243423756703,0.019037918166640525,0.74475,unstable_or_null,12,0.004527459774857697,0.02618592868998687,0.004654250241145924,-0.009678958494426874,0.0184356329552058,0.7485,unstable_or_null,12,0.005814593880002717,0.022130347771444913,0.005747021193381661,-0.006526545579495797,0.01734976219939469,0.83225,directional_positive
phase0_tf_mmp_aff128_isolated,tox21_mmp,parent,1,12,12,-0.04020638213438312,0.05856700636661231,-0.04012670338298426,-0.07150201638935663,-0.00826614868157199,0.00625,directional_negative,12,-0.014704764678212209,0.05147215250173409,-0.014985214826995932,-0.039447603257555176,0.015414367638183539,0.14775,directional_negative,12,-0.008058951001063045,0.03787744668306344,-0.008174725782317111,-0.02603883605234744,0.014588856890974692,0.21125,unstable_or_null,12,-0.0004207432921702313,0.05126915176893177,-6.776651301034551e-05,-0.028460495777486234,0.027002131345275494,0.50225,unstable_or_null,12,0.0042016969884219775,0.03623053049157056,0.004034319769739118,-0.01495642183965354,0.02374824605012108,0.65825,unstable_or_null,12,0.001860824389953715,0.027770214965013886,0.002000073037143263,-0.012353300536527828,0.017306192954298937,0.59425,unstable_or_null
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,12,0.006071825740550087,0.06548557509526742,0.005926510069329841,-0.0323753396528589,0.03866103844629235,0.64775,unstable_or_null,12,0.008612269581005062,0.07843360471604768,0.008411964357840218,-0.03355818571601405,0.04836558969340918,0.65475,unstable_or_null,12,0.0010365871821095436,0.03916760764059432,0.0008487109472313686,-0.02211724419782765,0.020569529487131515,0.5505,unstable_or_null,12,-0.0014957808409698972,0.03367891590979389,-0.00145079763859091,-0.01971332095073111,0.01740228083238929,0.434,unstable_or_null,12,0.0037543197330174496,0.05799224853501633,0.003650459560585917,-0.026510246297461938,0.036127149865707406,0.58225,unstable_or_null,12,0.0058642531905916395,0.04402843687415837,0.005799731876669338,-0.01689755040325203,0.029858591022301612,0.68325,unstable_or_null
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,stereo,20,12,12,0.016479668369870866,0.048568559462112776,0.016802939632271,-0.010359253458579675,0.042280132761591024,0.89525,directional_positive,12,0.024870110779832495,0.06878689507438827,0.024787972277045375,-0.00765816606234999,0.0647416088038225,0.9185,directional_positive,12,0.00748398925688645,0.03989606035711008,0.007705227060642626,-0.013906046652967203,0.029664563746670227,0.76,unstable_or_null,12,0.018675680945800365,0.03911148640527563,0.018921864860878587,-0.0010703517539774536,0.040249439028911004,0.969,directional_positive,12,0.0035343630376303836,0.06065251696420227,0.003850959205666731,-0.028756040949326912,0.036142993000982546,0.59025,unstable_or_null,12,0.020857601276669257,0.031617760531695446,0.020856288999402443,0.0036583836027743333,0.038005112601619144,0.9905,ci_positive
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,exact,20,12,12,0.006153572917047126,0.04144398543581379,0.005992955216589738,-0.017979944001959933,0.0277946454506399,0.69825,unstable_or_null,12,0.006257806835550119,0.043039883389308045,0.006023634365139254,-0.016121965381845935,0.030059204158848978,0.685,unstable_or_null,12,-0.007485581730476591,0.042664173016143725,-0.007227483875955014,-0.028755874181838555,0.017364909120200087,0.25925,unstable_or_null,12,0.008055574200863136,0.04145690720615043,0.007681037668870504,-0.014571639061582356,0.029197374418476692,0.749,unstable_or_null,12,0.003057297115781921,0.04241566319301818,0.003381356071206035,-0.02102207644818976,0.024627329001103145,0.624,unstable_or_null,12,0.0021529550578342966,0.03457172893381491,0.002169748766041188,-0.017674932089197154,0.020151178743341026,0.602,unstable_or_null
