artifact,task,injection_relation,dose,repeat_seed,n_queries,changed_queries,changed_only_recall,clean_background_hit_rate,decoy_false_positive_proxy,background_and_decoy_adjusted_changed_recall
phase0_tf_confirm_top_len158_extra,hiv,tautomer,20,107,64,5,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,20,107,64,11,1.0,0.015625,0.0,0.984375
phase0_tf_confirm_top_len158_extra,tox21_ahr,tautomer,20,107,64,11,1.0,0.015625,0.0,0.984375
phase0_tf_confirm_top_len158_extra,tox21_are,tautomer,20,107,64,8,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,tautomer,20,107,64,7,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bace,parent,1,109,64,42,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bbbp,parent,1,109,64,5,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,1,109,64,41,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,clintox_tox,parent,1,109,64,41,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,hiv,parent,1,109,64,8,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,sider_gastro,parent,1,109,64,6,1.0,0.078125,0.0,0.921875
phase0_tf_confirm_top_len158_extra,tox21_ahr,parent,1,109,64,1,1.0,0.03125,0.0,0.96875
phase0_tf_confirm_top_len158_extra,tox21_are,parent,1,109,64,2,1.0,0.03125,0.0,0.96875
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,109,64,5,1.0,0.015625,0.0,0.984375
