artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,421,204,82,122,-0.09121015399876166,0.01264552285009231,-0.10385567684885397,0.21951219512195122,0.2459016393442623,-0.003693027437051355,-0.14358208728789,-0.1583918094995284,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,443,204,82,122,-0.0025873161034613004,0.049656703518550914,-0.052244019622012215,0.3780487804878049,0.6967213114754098,0.004771095037228709,-0.04361412530188108,-0.04297441545341986,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,467,204,82,122,-0.02392037912476354,0.0014263108128406957,-0.025346689937604232,0.3170731707317073,0.45081967213114754,0.001326745458573586,-0.013675942012031086,-0.016143202280700458,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,491,204,82,122,0.1362172034001205,0.013089133487617382,0.12312806991250312,0.7073170731707317,0.7868852459016393,0.09144685177559286,0.1067725350166184,0.11807278267985322,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,509,204,82,122,-0.051579286162627906,0.04965071630526763,-0.10123000246789554,0.17073170731707318,0.26229508196721313,-0.020828211234753147,-0.18139728765758492,-0.1954668505428501,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,541,204,82,122,-0.026994037646345975,7.255888376079372e-05,-0.02706659653010677,0.25609756097560976,0.5163934426229508,-0.0004587129948679103,-0.010500700644603587,-0.012261035928765573,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,563,204,82,122,-0.03901273793563609,-0.004361733977423343,-0.034651003958212745,0.25609756097560976,0.3114754098360656,-0.006937192081972632,-0.04514139516076728,-0.05009099863176702,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,307,204,82,122,0.05203659628040907,-0.03076979702674465,0.08280639330715373,0.5853658536585366,0.45901639344262296,0.012089886809408146,0.005791419716063221,0.009326423589524648,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,331,204,82,122,-0.04498753814799031,-0.01281768401138118,-0.032169854136609125,0.36585365853658536,0.5081967213114754,0.024120614806502044,0.034208867164756844,0.03689304536710403,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,353,204,82,122,-0.12350246260260664,0.08297757798286735,-0.20648004058547398,0.2682926829268293,0.4098360655737705,-0.01678838467328625,-0.11557488738444238,-0.1261376243996923,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,379,204,82,122,-0.04772690565484326,-0.03377813677929463,-0.013948768875548634,0.25609756097560976,0.21311475409836064,-0.011508516656225876,-0.036193259809983995,-0.041336228761698984,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,401,204,82,122,-0.05822998746411832,-0.022639816764314636,-0.03559017069980368,0.5853658536585366,0.5983606557377049,-0.02874290585078563,-0.06688095819231206,-0.07522585942500704,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,421,204,82,122,-0.13877892035354927,0.014720255310540314,-0.15349917566408958,0.21951219512195122,0.22131147540983606,-0.024595726834340526,-0.18572831644070203,-0.2051686713321238,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,443,204,82,122,-0.1203024893908239,0.07715500509519069,-0.19745749448601457,0.21951219512195122,0.39344262295081966,0.01876640238641364,-0.15341958374332934,-0.16299598003607196,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,467,204,82,122,-0.001220162867045996,-0.010440962755533521,0.009220799888487525,0.34146341463414637,0.3524590163934426,0.004616242018129784,0.002367181002030923,0.0019929340947241413,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,491,204,82,122,0.16166554087000648,-0.0036535441386895086,0.165319085008696,0.7073170731707317,0.6639344262295082,0.06703400632529566,0.09742467406192755,0.109148024044038,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,509,204,82,122,-0.057344440847816994,0.05890870317206031,-0.1162531440198773,0.14634146341463414,0.3114754098360656,-0.013349425317633196,-0.17669708546352933,-0.19019314810682475,2
