injection_relation,dose,detector,detector_family,rows,mean_clean_background_hit_rate,mean_injection_recall,mean_changed_only_recall,mean_decoy_fp_proxy,mean_net_recall_over_decoy,mean_net_changed_recall_over_decoy
stereo,20,canonical,exact_identity,9,0.0,0.6996527777777778,0.0,0.0,0.6996527777777778,0.0
stereo,20,raw,exact_identity,9,0.0,0.3506944444444444,0.0,0.0,0.3506944444444444,0.0
tautomer,1,tautomer,semantic_lattice,9,0.003472222222222222,1.0,1.0,0.0,1.0,1.0
tautomer,1,scaffold,scaffold,9,0.2899305555555556,0.9409722222222222,0.6294344868906272,0.0,0.9409722222222222,0.6294344868906272
tautomer,1,ecfp70,ecfp_similarity,9,0.05555555555555555,0.9409722222222222,0.6030351552281377,0.0,0.9409722222222222,0.6030351552281377
tautomer,1,ecfp80,ecfp_similarity,9,0.026041666666666668,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,1,ecfp90,ecfp_similarity,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,1,stereo,semantic_lattice,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,1,canonical,exact_identity,9,0.0,0.8125,0.0,0.0,0.8125,0.0
tautomer,1,parent,semantic_lattice,9,0.015625,0.8125,0.0,0.0,0.8125,0.0
tautomer,1,raw,exact_identity,9,0.0,0.3819444444444444,0.0,0.0,0.3819444444444444,0.0
tautomer,5,tautomer,semantic_lattice,9,0.003472222222222222,1.0,1.0,0.0,1.0,1.0
tautomer,5,scaffold,scaffold,9,0.2899305555555556,0.9409722222222222,0.6294344868906272,0.0,0.9409722222222222,0.6294344868906272
tautomer,5,ecfp70,ecfp_similarity,9,0.05555555555555555,0.9409722222222222,0.6030351552281377,0.0,0.9409722222222222,0.6030351552281377
tautomer,5,ecfp80,ecfp_similarity,9,0.026041666666666668,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,5,ecfp90,ecfp_similarity,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,5,stereo,semantic_lattice,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,5,canonical,exact_identity,9,0.0,0.8125,0.0,0.0,0.8125,0.0
tautomer,5,parent,semantic_lattice,9,0.015625,0.8125,0.0,0.0,0.8125,0.0
tautomer,5,raw,exact_identity,9,0.0,0.3819444444444444,0.0,0.0,0.3819444444444444,0.0
tautomer,20,tautomer,semantic_lattice,9,0.003472222222222222,1.0,1.0,0.0,1.0,1.0
tautomer,20,scaffold,scaffold,9,0.2899305555555556,0.9409722222222222,0.6294344868906272,0.001736111111111111,0.9392361111111112,0.627698375779516
tautomer,20,ecfp70,ecfp_similarity,9,0.05555555555555555,0.9409722222222222,0.6030351552281377,0.0,0.9409722222222222,0.6030351552281377
tautomer,20,ecfp80,ecfp_similarity,9,0.026041666666666668,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,20,ecfp90,ecfp_similarity,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,20,stereo,semantic_lattice,9,0.005208333333333333,0.9288194444444444,0.5249251073812478,0.0,0.9288194444444444,0.5249251073812478
tautomer,20,canonical,exact_identity,9,0.0,0.8125,0.0,0.0,0.8125,0.0
tautomer,20,parent,semantic_lattice,9,0.015625,0.8125,0.0,0.0,0.8125,0.0
tautomer,20,raw,exact_identity,9,0.0,0.3819444444444444,0.0,0.0,0.3819444444444444,0.0
