artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted,did_minus_decoy,did_label_adjusted_minus_decoy,linear_affected_coef_minus_decoy
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,541,204,82,122,0.15547892510345795,0.021146235743262735,0.1343326893601952,0.7560975609756098,0.7540983606557377,0.050827860285804216,0.09814866563733404,0.1128450641860113,2,0.08413081765860042,0.09130311417355526,0.03519329268375636
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,563,204,82,122,0.01830011824282204,-0.007413277494125682,0.02571339573694772,0.5609756097560976,0.5245901639344263,0.012484879105916294,0.03431708323552444,0.04019049620497366,2,-0.07094414696739357,-0.041178877904242996,-0.04328101864507343
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,601,204,82,122,-0.025337153636827713,0.015125062866289105,-0.04046221650311682,0.5365853658536586,0.8688524590163934,0.010651827022604032,0.004405124015219541,0.0026774589551006017,2,0.006997681424313659,-0.01046035494118467,0.0014141642859303583
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,631,204,82,122,-0.05909929565358454,-0.01128431536318338,-0.047814980290401154,0.2804878048780488,0.32786885245901637,-0.01058231986615163,-0.055635410304892344,-0.06215355891239589,2,0.001821966911079595,0.046496782351370586,0.026344009659146753
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,653,204,82,122,-0.004555630429488858,-0.015955180418295932,0.011399549988807073,0.4634146341463415,0.19672131147540983,-0.0060703017595093375,-0.008817978076642323,-0.009183936687138081,2,0.0014560365589891908,-0.016808937012554544,-0.021852076265383855
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,677,204,82,122,-0.026896505911902693,-0.005206916053764149,-0.021689589858138545,0.2926829268292683,0.5081967213114754,-0.018700449356369716,-0.01573284714312707,-0.015956190372063386,2,-0.08591464128954465,-0.12147633599135295,-0.08229933766345293
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,701,204,82,122,0.04211878126896009,-0.0016007991660325327,0.043719580434992626,0.6097560975609756,0.5409836065573771,0.04619024894199336,0.09262822723224023,0.10229823298700443,2,-0.023162679244778668,0.05432685648579171,-0.0027562526808564553
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,733,204,82,122,0.03740597116511043,-0.011672247964583455,0.04907821912969389,0.7439024390243902,0.5409836065573771,0.007655586390504454,-0.015360510159154465,-0.020243625336387933,2,0.037612991108492415,0.02749636282054024,0.02810632506299466
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,757,204,82,122,0.018513046205043796,-0.006947830075123271,0.025460876280167067,0.7073170731707317,0.3770491803278688,0.019315276967358234,0.028563639480849154,0.030528559147042396,2,0.03176776263438334,0.011154666997310572,0.010873853391658056
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,787,204,82,122,0.01313849602167199,-0.022434364790554915,0.03557286081222691,0.4634146341463415,0.21311475409836064,-0.017822162543028864,-0.028510015633395,-0.03130836543753446,2,-0.0030730949749783465,-0.13492882037941428,-0.08562069427166429
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,811,204,82,122,-0.008535582458645828,0.004266971630639719,-0.012802554089285547,0.4268292682926829,0.3360655737704918,-0.05189572890627972,0.0410230305845693,0.05133107725699686,2,-0.014399135964172265,0.054692882592242587,-0.02723423219395471
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,839,204,82,122,-0.0024744616594256463,-0.01900376110780435,0.016529299448378703,0.3780487804878049,0.21311475409836064,-0.010067401821896721,-0.03192933561543316,-0.036240927950910565,2,-0.014308826145870555,-0.02769610174729904,0.008140195690984647
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,863,204,82,122,-0.055985792744450445,-0.006564570987810864,-0.04942122175663958,0.4634146341463415,0.319672131147541,0.004158720361009727,-0.04786677317692451,-0.058258058746639495,2,-0.015653590752524586,-0.0005710912374153262,0.01323826632302888
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,887,204,82,122,-0.013725871856256237,0.020729494693337895,-0.034455366549594135,0.4634146341463415,0.6885245901639344,0.0017676954402569,-0.012756459698554594,-0.014830439331514927,2,0.015331636835001348,0.027689261848612215,-0.0039853114510337295
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,307,204,82,122,0.016795353736819292,0.008175818157977738,0.008619535578841554,0.7317073170731707,0.5327868852459017,-0.002453659200182368,-0.013096269079692606,-0.01599407860515483,2,0.002249087874696817,0.011515524285155064,-0.0008943137615961831
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,331,204,82,122,-0.04403236290303671,-0.008828658671652686,-0.035203704231384025,0.4268292682926829,0.36885245901639346,-0.012905304837636578,-0.0545269215984734,-0.06537310525392565,2,-0.01427467782549361,-0.0023177602085376406,0.00022055460617909084
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,353,204,82,122,-0.13394877141932163,0.027185228210492206,-0.16113399962981384,0.3780487804878049,0.5737704918032787,-0.09134013949210941,-0.10117382151869742,-0.10206368784713854,2,-0.05791318050471367,-0.09171579441872028,-0.08712834624186262
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,379,204,82,122,0.023163899597598275,-0.01061305709061076,0.033776956688209035,0.4634146341463415,0.14754098360655737,-0.0075622063921542415,0.017119651168849153,0.023023917822158638,2,0.028123381440756733,0.019825505507120072,-0.0034706485214277202
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,401,204,82,122,0.01569072179859732,0.009083071219750124,0.006607650578847197,0.6585365853658537,0.8032786885245902,0.04586657357222723,0.12246176704842836,0.14031458148252757,2,0.029816987235747022,0.13706091167205628,0.10540964956306076
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,421,204,82,122,0.012461073605752581,-0.010738566426224396,0.023199640031976977,0.6585365853658537,0.5655737704918032,0.0303022512703434,0.03427319971711016,0.03591586885510564,2,0.06745383424050616,0.0065584074353409565,0.0342046220878726
