scenario,method,method_group,source_type,is_proposed,relation_typed,certificate_ready,repeat_seeds,cells_per_repeat,changed_only_recall_mean_std,clean_background_hit_rate_mean_std,background_and_decoy_adjusted_mean_std,background_and_decoy_adjusted_mean
ood_low_similarity_lt_0_70,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.9329 +/- 0.0013,0.1599 +/- 0.0347,0.7713 +/- 0.0343,0.7713488947322832
ood_low_similarity_lt_0_70,morgan_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.7356 +/- 0.0024,0.0000 +/- 0.0000,0.7356 +/- 0.0024,0.735607557486649
ood_low_similarity_lt_0_70,morgan_ecfp80,recent_same_task,self_rerun,False,False,False,5,81,0.7271 +/- 0.0022,0.0000 +/- 0.0000,0.7271 +/- 0.0022,0.7270629901825628
ood_low_similarity_lt_0_70,tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.8616 +/- 0.0015,0.1578 +/- 0.0373,0.7024 +/- 0.0371,0.7023577389086437
ood_low_similarity_lt_0_70,datasail_similarity_cluster,recent_same_task,adapted_rerun,False,False,False,5,81,0.8574 +/- 0.0018,0.1542 +/- 0.0407,0.7019 +/- 0.0408,0.7018548793541385
ood_low_similarity_lt_0_70,murcko_scaffold,recent_same_task,self_rerun,False,False,False,5,81,0.7929 +/- 0.0014,0.1542 +/- 0.0407,0.6374 +/- 0.0412,0.637373365152816
ood_low_similarity_lt_0_70,smiles_shingle_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.8949 +/- 0.0020,0.2507 +/- 0.0158,0.6251 +/- 0.0170,0.6251148307257549
ood_low_similarity_lt_0_70,inchikey_full_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.0992 +/- 0.0007,0.0039 +/- 0.0054,0.0951 +/- 0.0058,0.0951436537393547
ood_low_similarity_lt_0_70,canonical_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
ood_low_similarity_lt_0_70,raw_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
warm_start_scaffold_present,chemtrace_relation_lattice,proposed,self_rerun,True,True,True,5,81,1.0000 +/- 0.0000,0.0142 +/- 0.0127,0.9795 +/- 0.0182,0.9794888753222086
warm_start_scaffold_present,inchikey_connectivity_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.9240 +/- 0.0410,0.0654 +/- 0.0481,0.8572 +/- 0.0777,0.8571920363587031
warm_start_scaffold_present,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,81,0.9174 +/- 0.0489,0.1340 +/- 0.0823,0.7789 +/- 0.1249,0.7789369771596939
warm_start_scaffold_present,morgan_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.6616 +/- 0.1254,0.0559 +/- 0.0395,0.6039 +/- 0.1553,0.6039346319983574
warm_start_scaffold_present,morgan_ecfp80,recent_same_task,self_rerun,False,False,False,5,81,0.6375 +/- 0.1214,0.0535 +/- 0.0388,0.5826 +/- 0.1527,0.5826399680566346
warm_start_scaffold_present,smiles_shingle_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.6523 +/- 0.0828,0.3550 +/- 0.0824,0.2550 +/- 0.0882,0.254992509139181
warm_start_scaffold_present,inchikey_full_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.2371 +/- 0.1385,0.0036 +/- 0.0080,0.2336 +/- 0.1349,0.23357473544973545
warm_start_scaffold_present,canonical_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
warm_start_scaffold_present,raw_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
warm_start_scaffold_present,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,1.0000 +/- 0.0000,1.0000 +/- 0.0000,-0.0012 +/- 0.0027,-0.0011904761904761904
warm_start_scaffold_present,tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,1.0000 +/- 0.0000,1.0000 +/- 0.0000,-0.0012 +/- 0.0027,-0.0011904761904761904
warm_start_scaffold_present,datasail_similarity_cluster,recent_same_task,adapted_rerun,False,False,False,5,81,0.9646 +/- 0.0248,1.0000 +/- 0.0000,-0.0366 +/- 0.0266,-0.03660714285714285
warm_start_scaffold_present,murcko_scaffold,recent_same_task,self_rerun,False,False,False,5,81,0.9646 +/- 0.0248,1.0000 +/- 0.0000,-0.0366 +/- 0.0266,-0.03660714285714285
